Sample_R1,Sample_R2,Ref
s3://greninger-lab-file-share/quynh/cfdna/test/ADV994-K-15x_S11_L001_R1_001.fastq.gz,s3://greninger-lab-file-share/quynh/cfdna/test/ADV994-K-15x_S11_L001_R2_001.fastq.gz,AC000008
s3://greninger-lab-file-share/quynh/cfdna/test/HSV369-K-15x_S18_L001_R1_001.fastq.gz,s3://greninger-lab-file-share/quynh/cfdna/test/HSV369-K-15x_S18_L001_R2_001.fastq.gz,NC001798
